Gene stable ID	Transcript stable ID	Gene name
AT3G18710	AT3G18710.1	PUB29
AT4G25880	AT4G25880.2	APUM6
AT4G25880	AT4G25880.3	APUM6
AT4G25880	AT4G25880.1	APUM6
AT1G71695	AT1G71695.1	PER12
AT1G32045	AT1G32045.1	
AT5G41480	AT5G41480.1	EMB9
AT5G15008	AT5G15008.1	
AT3G18310	AT3G18310.1	
AT4G26490	AT4G26490.1	
AT5G46240	AT5G46240.1	KAT1
AT3G25717	AT3G25717.1	RTFL16
AT5G62260	AT5G62260.1	AHL6
AT5G44313	AT5G44313.1	
AT5G35715	AT5G35715.1	CYP71B8
AT2G21390	AT2G21390.1	
AT5G41908	AT5G41908.1	
AT3G48330	AT3G48330.2	PIMT1
AT3G48330	AT3G48330.1	PIMT1
AT4G32710	AT4G32710.1	PERK14
AT4G13259	AT4G13259.1	
AT2G21930	AT2G21930.1	
AT3G53910	AT3G53910.1	
AT1G71528	AT1G71528.1	
AT4G25090	AT4G25090.1	RBOHG
AT4G25090	AT4G25090.2	RBOHG
AT2G18870	AT2G18870.1	VEL3
AT1G64560	AT1G64560.1	
AT1G56250	AT1G56250.1	VBF
AT3G16830	AT3G16830.1	TPR2
AT3G03305	AT3G03305.1	
AT5G50110	AT5G50110.1	
AT5G66670	AT5G66670.2	
AT5G66670	AT5G66670.1	
AT2G38310	AT2G38310.1	PYL4
AT5G23000	AT5G23000.1	RAX1
AT2G12195	AT2G12195.1	
AT5G03560	AT5G03560.1	
AT5G03560	AT5G03560.2	
AT1G28940	AT1G28940.1	
AT1G76280	AT1G76280.3	
AT1G76280	AT1G76280.1	
AT1G76280	AT1G76280.2	
AT3G03272	AT3G03272.1	
AT3G28960	AT3G28960.1	
AT3G10210	AT3G10210.1	
AT1G71390	AT1G71390.1	AtRLP11
AT3G42718	AT3G42718.1	
AT2G11130	AT2G11130.1	
AT4G29180	AT4G29180.1	RHS16
AT4G29180	AT4G29180.2	RHS16
AT1G15210	AT1G15210.1	ABCG35
AT3G63470	AT3G63470.1	SCPL40
AT2G46620	AT2G46620.1	
AT2G43750	AT2G43750.1	OASB
AT2G43750	AT2G43750.2	OASB
AT2G24490	AT2G24490.1	RPA2A
AT2G24490	AT2G24490.2	RPA2A
AT2G15080	AT2G15080.1	AtRLP19
AT2G15080	AT2G15080.2	AtRLP19
AT3G13820	AT3G13820.1	
AT1G16360	AT1G16360.1	ALIS4
AT3G49770	AT3G49770.1	
AT4G31660	AT4G31660.1	REM7
AT1G26670	AT1G26670.1	VTI12
AT3G09505	AT3G09505.1	
AT1G52200	AT1G52200.1	PCR8
AT1G57800	AT1G57800.1	ORTH3
AT1G69460	AT1G69460.1	
AT4G23200	AT4G23200.1	CRK12
AT4G10980	AT4G10980.1	
AT1G08080	AT1G08080.1	ACA7
AT5G15420	AT5G15420.1	
AT4G29810	AT4G29810.3	MKK2
AT4G29810	AT4G29810.2	MKK2
AT4G29810	AT4G29810.1	MKK2
AT1G80870	AT1G80870.1	
AT5G18730	AT5G18730.1	
AT5G67570	AT5G67570.1	DG1
AT1G75310	AT1G75310.1	AUL1
AT2G13160	AT2G13160.1	
AT1G14315	AT1G14315.2	
AT1G14315	AT1G14315.1	
AT5G57625	AT5G57625.1	
AT4G35440	AT4G35440.1	CLC-E
AT4G35440	AT4G35440.2	CLC-E
