Ensembl Gene ID	Ensembl Transcript ID	Associated Gene Name
FBgn0041711	FBtr0082757	yellow-e
FBgn0032283	FBtr0080129	CG7296
FBgn0032283	FBtr0336850	CG7296
FBgn0042110	FBtr0113346	CG18765
FBgn0038207	FBtr0082908	CG14356
FBgn0037149	FBtr0078480	CG14561
FBgn0037149	FBtr0334111	CG14561
FBgn0039007	FBtr0084333	CCAP
FBgn0039007	FBtr0335007	CCAP
FBgn0259849	FBtr0300146	Su(Ste):CR42418
FBgn0267291	FBtr0346576	CR45727
FBgn0086064	FBtr0114340	snoRNA:Me28S-G3113b
FBgn0069913	FBtr0301624	CG4681
FBgn0028707	FBtr0342603	Mt2
FBgn0028707	FBtr0110911	Mt2
FBgn0085287	FBtr0112452	CG34258
FBgn0020644	FBtr0076994	Lcp65Ab1
FBgn0026083	FBtr0305185	tyf
FBgn0026083	FBtr0305180	tyf
FBgn0026083	FBtr0305179	tyf
FBgn0026083	FBtr0305181	tyf
FBgn0026083	FBtr0305184	tyf
FBgn0026083	FBtr0070643	tyf
FBgn0026083	FBtr0345713	tyf
FBgn0026083	FBtr0301124	tyf
FBgn0026083	FBtr0305182	tyf
FBgn0026083	FBtr0305183	tyf
FBgn0026083	FBtr0300931	tyf
FBgn0023090	FBtr0081516	dtr
FBgn0020643	FBtr0076992	Lcp65Ab2
FBgn0029979	FBtr0071132	CG10777
FBgn0029979	FBtr0344137	CG10777
FBgn0261954	FBtr0303047	east
FBgn0261954	FBtr0307290	east
FBgn0261954	FBtr0303046	east
FBgn0261954	FBtr0307289	east
FBgn0261954	FBtr0343522	east
FBgn0261954	FBtr0070326	east
FBgn0085195	FBtr0301737	CG34166
FBgn0085195	FBtr0112357	CG34166
FBgn0085195	FBtr0345461	CG34166
FBgn0085195	FBtr0343708	CG34166
FBgn0043577	FBtr0075320	PGRP-SB2
FBgn0043577	FBtr0333627	PGRP-SB2
FBgn0031306	FBtr0077957	CG4577
FBgn0031306	FBtr0332271	CG4577
FBgn0023215	FBtr0070579	Mnt
FBgn0023215	FBtr0301823	Mnt
FBgn0023215	FBtr0301821	Mnt
FBgn0023215	FBtr0343578	Mnt
FBgn0023215	FBtr0307278	Mnt
FBgn0023215	FBtr0307277	Mnt
FBgn0023215	FBtr0070578	Mnt
FBgn0023215	FBtr0301824	Mnt
FBgn0023215	FBtr0301825	Mnt
FBgn0023215	FBtr0301822	Mnt
FBgn0259203	FBtr0299693	CG42307
FBgn0259203	FBtr0344452	CG42307
FBgn0259203	FBtr0299691	CG42307
FBgn0259203	FBtr0299692	CG42307
FBgn0051683	FBtr0081365	CG31683
FBgn0051683	FBtr0330662	CG31683
FBgn0011836	FBtr0332688	Taf2
FBgn0011836	FBtr0076361	Taf2
FBgn0053884	FBtr0091888	His2B:CG33884
FBgn0027611	FBtr0080031	LM408
FBgn0027611	FBtr0080030	LM408
FBgn0038766	FBtr0083830	CG4854
FBgn0266052	FBtr0343376	CR44817
