Ensembl Gene ID	Ensembl Transcript ID	Associated Gene Name
ENSDARG00000083480	ENSDART00000116162	AC024175.23
ENSDARG00000082753	ENSDART00000115891	AC024175.17
ENSDARG00000081443	ENSDART00000118668	AC024175.10
ENSDARG00000080337	ENSDART00000117596	AC024175.4
ENSDARG00000083046	ENSDART00000118697	AC024175.19
ENSDARG00000063895	ENSDART00000093596	mt-nd1
ENSDARG00000083118	ENSDART00000116525	AC024175.20
ENSDARG00000080630	ENSDART00000116983	AC024175.6
ENSDARG00000082084	ENSDART00000116751	AC024175.14
ENSDARG00000063899	ENSDART00000093600	mt-nd2
ENSDARG00000080718	ENSDART00000118316	AC024175.7
ENSDARG00000080401	ENSDART00000118299	AC024175.5
ENSDARG00000081938	ENSDART00000116869	AC024175.13
ENSDARG00000082789	ENSDART00000116146	AC024175.18
ENSDARG00000080128	ENSDART00000118615	AC024175.1
ENSDARG00000063905	ENSDART00000093606	mt-co1
ENSDARG00000081369	ENSDART00000117474	AC024175.9
ENSDARG00000083519	ENSDART00000117438	AC024175.24
ENSDARG00000063908	ENSDART00000093609	mt-co2
ENSDARG00000080151	ENSDART00000115812	AC024175.2
ENSDARG00000063910	ENSDART00000093611	mt-atp8
ENSDARG00000063911	ENSDART00000093612	mt-atp6
ENSDARG00000063912	ENSDART00000093613	mt-co3
ENSDARG00000081758	ENSDART00000116044	AC024175.12
ENSDARG00000063914	ENSDART00000093615	mt-nd3
ENSDARG00000080329	ENSDART00000117281	AC024175.3
ENSDARG00000063916	ENSDART00000093617	mt-nd4l
ENSDARG00000063917	ENSDART00000093618	mt-nd4
ENSDARG00000082716	ENSDART00000118969	AC024175.16
ENSDARG00000082123	ENSDART00000117687	AC024175.15
ENSDARG00000081280	ENSDART00000116461	AC024175.8
ENSDARG00000063921	ENSDART00000093622	mt-nd5
ENSDARG00000063922	ENSDART00000093623	mt-nd6
ENSDARG00000083312	ENSDART00000116823	AC024175.21
ENSDARG00000063924	ENSDART00000093625	mt-cyb
ENSDARG00000083462	ENSDART00000116552	AC024175.22
ENSDARG00000081475	ENSDART00000115546	AC024175.11
ENSDARG00000103541	ENSDART00000167770	BX469910.3
ENSDARG00000089432	ENSDART00000124752	CR352328.3
ENSDARG00000100180	ENSDART00000170515	CR356223.2
ENSDARG00000100727	ENSDART00000158454	si:ch211-49f20.3
ENSDARG00000099963	ENSDART00000160623	si:ch211-223k15.1
ENSDARG00000101229	ENSDART00000169960	CR792418.3
ENSDARG00000057884	ENSDART00000060181	zgc:114174
ENSDARG00000100961	ENSDART00000164413	zgc:174648
ENSDARG00000100961	ENSDART00000157681	zgc:174648
ENSDARG00000100961	ENSDART00000163144	zgc:174648
ENSDARG00000094160	ENSDART00000142406	DLEU7
ENSDARG00000105257	ENSDART00000159303	U1
ENSDARG00000059858	ENSDART00000135014	pappab
ENSDARG00000059858	ENSDART00000133766	pappab
ENSDARG00000059858	ENSDART00000083684	pappab
ENSDARG00000078657	ENSDART00000112895	C22H1orf233
