Ensembl Gene ID	Ensembl Transcript ID	Associated Gene Name
ENSGALG00000028748	ENSGALT00000045758	
ENSGALG00000005149	ENSGALT00000008267	FAM222A
ENSGALG00000026389	ENSGALT00000043333	
ENSGALG00000018770	ENSGALT00000029647	
ENSGALG00000028384	ENSGALT00000045367	
ENSGALG00000028948	ENSGALT00000045978	KCTD3
ENSGALG00000017674	ENSGALT00000028378	
ENSGALG00000025711	ENSGALT00000042625	H3F3C
ENSGALG00000028014	ENSGALT00000044988	
ENSGALG00000029162	ENSGALT00000046225	SPINW
ENSGALG00000000238	ENSGALT00000000317	MVP
ENSGALG00000000307	ENSGALT00000000407	
ENSGALG00000022202	ENSGALT00000035764	
ENSGALG00000000327	ENSGALT00000000433	FBN3
ENSGALG00000000337	ENSGALT00000000452	CTXN1
ENSGALG00000000352	ENSGALT00000000472	TIMM44
ENSGALG00000000377	ENSGALT00000000510	HNRNPM
ENSGALG00000000406	ENSGALT00000000553	
ENSGALG00000000346	ENSGALT00000040211	
ENSGALG00000018772	ENSGALT00000040208	ZNF302
ENSGALG00000000353	ENSGALT00000040207	DHRS7C
ENSGALG00000021710	ENSGALT00000035245	GSG1L2
ENSGALG00000027187	ENSGALT00000045552	GLP2R
ENSGALG00000000368	ENSGALT00000000500	GAS7
ENSGALG00000014171	ENSGALT00000040569	
ENSGALG00000021211	ENSGALT00000034159	PRF1
ENSGALG00000000407	ENSGALT00000000555	
ENSGALG00000021212	ENSGALT00000034164	C16orf93
ENSGALG00000024040	ENSGALT00000040563	ANKMY1
ENSGALG00000000408	ENSGALT00000000556	LSM7
ENSGALG00000000430	ENSGALT00000000587	SPPL2B
ENSGALG00000009151	ENSGALT00000014902	
ENSGALG00000000779	ENSGALT00000001184	
ENSGALG00000000458	ENSGALT00000000620	TMPRSS9
ENSGALG00000028937	ENSGALT00000043405	TIMM13
ENSGALG00000009123	ENSGALT00000014852	
ENSGALG00000000470	ENSGALT00000000640	LMNB2
ENSGALG00000009105	ENSGALT00000014829	DPP7
ENSGALG00000000474	ENSGALT00000000644	RPL36
ENSGALG00000000490	ENSGALT00000000671	LONP1
ENSGALG00000027065	ENSGALT00000043530	
ENSGALG00000009120	ENSGALT00000014847	
ENSGALG00000027290	ENSGALT00000042984	
ENSGALG00000009079	ENSGALT00000014774	MAN1B1
ENSGALG00000026760	ENSGALT00000044239	
ENSGALG00000000558	ENSGALT00000000776	SLC1A6
ENSGALG00000027888	ENSGALT00000043702	LAMTOR1
ENSGALG00000026288	ENSGALT00000043798	SLC5A6
ENSGALG00000009090	ENSGALT00000034191	UAP1L1
ENSGALG00000027323	ENSGALT00000044266	
ENSGALG00000024425	ENSGALT00000015880	
ENSGALG00000025791	ENSGALT00000045460	
ENSGALG00000028102	ENSGALT00000001420	
ENSGALG00000009060	ENSGALT00000014746	SAPCD2
ENSGALG00000009058	ENSGALT00000014744	ENTPD2
ENSGALG00000026748	ENSGALT00000039878	MYH1A
ENSGALG00000009054	ENSGALT00000034208	TMEM141
ENSGALG00000000577	ENSGALT00000000806	RANBP3
ENSGALG00000028134	ENSGALT00000001427	MYH1B
ENSGALG00000026027	ENSGALT00000043084	CLIC3
ENSGALG00000001226	ENSGALT00000040507	ABCA2
ENSGALG00000028896	ENSGALT00000046239	MYH1E
ENSGALG00000026541	ENSGALT00000044012	
ENSGALG00000026541	ENSGALT00000045918	
ENSGALG00000027742	ENSGALT00000043489	KLHL33
ENSGALG00000021692	ENSGALT00000035203	
ENSGALG00000021693	ENSGALT00000035204	
ENSGALG00000000589	ENSGALT00000000824	BTN1A1
ENSGALG00000000599	ENSGALT00000000837	MARCH2
ENSGALG00000000613	ENSGALT00000000866	RAB11B
ENSGALG00000000619	ENSGALT00000000877	ANGPTL4
ENSGALG00000000621	ENSGALT00000041280	KANK3
ENSGALG00000026574	ENSGALT00000043197	POUV
ENSGALG00000009039	ENSGALT00000014712	NPDC1
ENSGALG00000024398	ENSGALT00000041279	RPS28
ENSGALG00000024011	ENSGALT00000040488	Ex-FABP
ENSGALG00000000629	ENSGALT00000000895	
ENSGALG00000009019	ENSGALT00000014677	
ENSGALG00000021688	ENSGALT00000041277	CD320
ENSGALG00000021688	ENSGALT00000035199	CD320
ENSGALG00000028529	ENSGALT00000014675	PTGDS
ENSGALG00000024004	ENSGALT00000040479	C8G
ENSGALG00000026161	ENSGALT00000043120	
ENSGALG00000028044	ENSGALT00000045014	ADMP
ENSGALG00000026844	ENSGALT00000043777	
ENSGALG00000000722	ENSGALT00000001022	
ENSGALG00000008966	ENSGALT00000014582	FBXW5
ENSGALG00000009014	ENSGALT00000014665	TRAF2
ENSGALG00000009008	ENSGALT00000014657	EDF1
ENSGALG00000008995	ENSGALT00000040444	MAMDC4
ENSGALG00000008995	ENSGALT00000014630	MAMDC4
ENSGALG00000008995	ENSGALT00000040446	MAMDC4
ENSGALG00000024395	ENSGALT00000041273	
ENSGALG00000000726	ENSGALT00000001029	ELAVL1
ENSGALG00000000726	ENSGALT00000045717	ELAVL1
ENSGALG00000021242	ENSGALT00000034236	PHPT1
ENSGALG00000000736	ENSGALT00000001052	MATK
ENSGALG00000028823	ENSGALT00000042847	C9orf172
ENSGALG00000008984	ENSGALT00000014614	RABL6
ENSGALG00000008973	ENSGALT00000014597	AMBP
ENSGALG00000013431	ENSGALT00000032299	RAX2
ENSGALG00000027961	ENSGALT00000042673	
ENSGALG00000008959	ENSGALT00000014570	EXD3
ENSGALG00000008952	ENSGALT00000014558	noxa1
ENSGALG00000027611	ENSGALT00000045101	MRPL54
ENSGALG00000027177	ENSGALT00000044534	MYH1C
ENSGALG00000000740	ENSGALT00000001057	APBA3
ENSGALG00000008932	ENSGALT00000014516	ENTPD8
ENSGALG00000008936	ENSGALT00000014522	
ENSGALG00000021274	ENSGALT00000014517	
ENSGALG00000000748	ENSGALT00000001087	TJP3
ENSGALG00000000784	ENSGALT00000001137	PIP5K1C
ENSGALG00000028612	ENSGALT00000001424	
ENSGALG00000008920	ENSGALT00000014501	NDOR1
ENSGALG00000013382	ENSGALT00000021830	SCO1
ENSGALG00000028751	ENSGALT00000044936	TMEM220
ENSGALG00000001001	ENSGALT00000001477	MAP2K4
ENSGALG00000024391	ENSGALT00000041266	CACTIN
ENSGALG00000008899	ENSGALT00000014472	LRRC26
ENSGALG00000008898	ENSGALT00000040369	GRIN1
ENSGALG00000001021	ENSGALT00000043043	MYOCD
ENSGALG00000001021	ENSGALT00000001507	MYOCD
ENSGALG00000001036	ENSGALT00000001534	ELAC2
ENSGALG00000008891	ENSGALT00000014454	
ENSGALG00000026090	ENSGALT00000043114	
ENSGALG00000001111	ENSGALT00000001676	DNAH9
ENSGALG00000027241	ENSGALT00000042748	TBXA2R
ENSGALG00000023638	ENSGALT00000039388	
ENSGALG00000001150	ENSGALT00000001728	
ENSGALG00000028029	ENSGALT00000045726	GIPC3
ENSGALG00000029014	ENSGALT00000043389	PIRT
ENSGALG00000001156	ENSGALT00000001736	RNF222
ENSGALG00000001163	ENSGALT00000001753	NDEL1
ENSGALG00000001163	ENSGALT00000034920	NDEL1
ENSGALG00000008886	ENSGALT00000014440	ZNF618
ENSGALG00000001183	ENSGALT00000023397	MYH10
ENSGALG00000026167	ENSGALT00000039333	
ENSGALG00000023626	ENSGALT00000039331	NTN1
ENSGALG00000001238	ENSGALT00000001879	STX8
ENSGALG00000027838	ENSGALT00000043407	HMG20B
ENSGALG00000021282	ENSGALT00000034312	
ENSGALG00000021283	ENSGALT00000034313	
ENSGALG00000008881	ENSGALT00000014433	RGS3
ENSGALG00000001244	ENSGALT00000039321	
ENSGALG00000001261	ENSGALT00000001914	CFAP52
ENSGALG00000017417	ENSGALT00000028105	USP43
ENSGALG00000001311	ENSGALT00000001996	ARHGAP44
ENSGALG00000001323	ENSGALT00000002016	
ENSGALG00000008873	ENSGALT00000040353	POLE3
ENSGALG00000008861	ENSGALT00000014393	BSPRY
ENSGALG00000001335	ENSGALT00000002041	FAM18B1
ENSGALG00000008859	ENSGALT00000014391	WDR31
ENSGALG00000021568	ENSGALT00000034905	
ENSGALG00000001348	ENSGALT00000002058	TEKT3
ENSGALG00000026262	ENSGALT00000042696	PMP22
ENSGALG00000023608	ENSGALT00000039286	
ENSGALG00000023609	ENSGALT00000039287	
ENSGALG00000008857	ENSGALT00000014388	PRPF4
ENSGALG00000001375	ENSGALT00000002095	COX10
ENSGALG00000001371	ENSGALT00000002091	
ENSGALG00000000795	ENSGALT00000001153	MFSD12
ENSGALG00000001404	ENSGALT00000002133	
ENSGALG00000028354	ENSGALT00000043839	METRNL
ENSGALG00000001433	ENSGALT00000002182	B3GNTL1
ENSGALG00000001503	ENSGALT00000002283	TBCD
ENSGALG00000001503	ENSGALT00000039250	TBCD
ENSGALG00000002085	ENSGALT00000003251	CDH1-A
ENSGALG00000002085	ENSGALT00000035693	CDH1-A
ENSGALG00000026095	ENSGALT00000045019	CDC26
ENSGALG00000008844	ENSGALT00000014372	SLC31A1
ENSGALG00000001518	ENSGALT00000002308	ZNF750
ENSGALG00000001531	ENSGALT00000002328	FN3K
ENSGALG00000028979	ENSGALT00000043083	FN3KRP
ENSGALG00000022149	ENSGALT00000035696	
ENSGALG00000001545	ENSGALT00000002349	RAB40B
ENSGALG00000017524	ENSGALT00000028221	DOHH
ENSGALG00000026462	ENSGALT00000039384	UNC13A
ENSGALG00000008838	ENSGALT00000014359	FKBP15
ENSGALG00000001563	ENSGALT00000002374	WDR45B
ENSGALG00000001577	ENSGALT00000002396	FOXK2
ENSGALG00000001591	ENSGALT00000002416	
ENSGALG00000001603	ENSGALT00000002433	NARF
ENSGALG00000001607	ENSGALT00000002445	C17orf62
ENSGALG00000001612	ENSGALT00000002454	HEXDC
ENSGALG00000001618	ENSGALT00000002469	OGFOD3
ENSGALG00000008822	ENSGALT00000014338	
ENSGALG00000008819	ENSGALT00000014334	LRSAM1
ENSGALG00000001629	ENSGALT00000002490	
ENSGALG00000001631	ENSGALT00000002493	
ENSGALG00000001656	ENSGALT00000002528	SEPT9
ENSGALG00000001725	ENSGALT00000002646	TNRC6C
ENSGALG00000008806	ENSGALT00000014314	RPL12
ENSGALG00000012984	ENSGALT00000021187	MYO5B
ENSGALG00000001684	ENSGALT00000002576	SEC14L1
ENSGALG00000001734	ENSGALT00000002662	
ENSGALG00000001740	ENSGALT00000002671	MGAT5B
ENSGALG00000001777	ENSGALT00000002733	MFSD11
ENSGALG00000017357	ENSGALT00000028041	SRSF2
ENSGALG00000001790	ENSGALT00000002759	
ENSGALG00000001802	ENSGALT00000002784	JMJD6
ENSGALG00000001805	ENSGALT00000044920	MXRA7
ENSGALG00000001805	ENSGALT00000002789	MXRA7
ENSGALG00000001862	ENSGALT00000002882	ST6GALNAC1
ENSGALG00000001883	ENSGALT00000002918	ST6GALNAC2
ENSGALG00000001886	ENSGALT00000034851	
ENSGALG00000001892	ENSGALT00000039145	CYGB
