Gene stable ID	Transcript stable ID	Gene name
OS11G0599200	OS11T0599200-01	
OS11G0599101	OS11T0599101-01	
OS11G0599100	OS11T0599100-01	
OS11G0599000	OS11T0599000-00	
OS11G0598900	OS11T0598900-00	
OS11G0598850	OS11T0598850-00	
OS11G0598800	OS11T0598800-01	
OS11G0598700	OS11T0598700-00	
OS11G0598500	OS11T0598500-00	
OS11G0598300	OS11T0598300-00	
OS11G0598200	OS11T0598200-01	
OS11G0598000	OS11T0598000-00	
OS11G0597700	OS11T0597700-01	
OS11G0597601	OS11T0597601-01	
OS11G0597500	OS11T0597500-00	
OS11G0597400	OS11T0597400-00	
OS11G0596250	OS11T0596250-01	
OS11G0596200	OS11T0596200-00	
OS11G0595400	OS11T0595400-00	FON2
OS11G0596000	OS11T0596000-00	
OS11G0595200	OS11T0595200-01	
OS11G0595100	OS11T0595100-01	
OS11G0595000	OS11T0595000-00	
OS11G0594900	OS11T0594900-00	
OS11G0594800	OS11T0594800-01	
OS11G0594700	OS11T0594700-00	
OS11G0594600	OS11T0594600-00	
OS11G0594500	OS11T0594500-00	
OS11G0594400	OS11T0594400-01	
OS11G0594200	OS11T0594200-01	
OS11G0594000	OS11T0594000-01	
OS11G0593900	OS11T0593900-01	
OS11G0593700	OS11T0593700-01	
OS11G0593600	OS11T0593600-01	
OS11G0593500	OS11T0593500-01	
OS11G0593100	OS11T0593100-01	
OS11G0593000	OS11T0593000-01	
OS11G0592900	OS11T0592900-01	
OS11G0592800	OS11T0592800-01	
OS11G0592850	OS11T0592850-00	
OS11G0592700	OS11T0592700-00	
OS11G0592550	OS11T0592550-00	
OS11G0592600	OS11T0592600-01	
OS11G0592500	OS11T0592500-01	
OS11G0592500	OS11T0592500-02	
OS11G0592400	OS11T0592400-00	
OS11G0592375	OS11T0592375-00	
OS11G0592350	OS11T0592350-00	PSBK
OS11G0592300	OS11T0592300-01	
OS11G0592200	OS11T0592200-01	
OS11G0592000	OS11T0592000-01	
OS11G0592100	OS11T0592100-01	
OS11G0591800	OS11T0591800-01	
OS11G0591700	OS11T0591700-00	
OS11G0591550	OS11T0591550-00	
OS11G0591400	OS11T0591400-01	
OS11G0591300	OS11T0591300-00	
OS11G0591200	OS11T0591200-01	
OS11G0591000	OS11T0591000-01	
OS11G0591100	OS11T0591100-01	GME-2
OS11G0590700	OS11T0590700-01	
OS11G0590900	OS11T0590900-00	
OS11G0590400	OS11T0590400-00	
OS11G0589800	OS11T0589800-00	
OS11G0589600	OS11T0589600-00	
OS11G0588766	OS11T0588766-00	
OS11G0588600	OS11T0588600-01	
OS11G0588400	OS11T0588400-01	
OS11G0588400	OS11T0588400-02	
OS11G0588300	OS11T0588300-01	
OS11G0588300	OS11T0588300-02	
OS11G0588100	OS11T0588100-00	
OS11G0587600	OS11T0587600-01	
OS11G0587300	OS11T0587300-00	
OS11G0587500	OS11T0587500-01	
OS11G0587550	OS11T0587550-00	
OS11G0587100	OS11T0587100-00	
OS11G0587000	OS11T0587000-01	D27
OS11G0587000	OS11T0587000-02	D27
OS11G0586900	OS11T0586900-01	
OS11G0586900	OS11T0586900-02	
OS11G0586825	OS11T0586825-00	
OS11G0586300	OS11T0586300-01	
OS11G0586300	OS11T0586300-02	
OS11G0586200	OS11T0586200-00	CML6
OS11G0586100	OS11T0586100-01	
OS11G0586001	OS11T0586001-00	
OS11G0585900	OS11T0585900-01	
OS11G0585700	OS11T0585700-01	
OS11G0585200	OS11T0585200-01	
OS11G0585100	OS11T0585100-01	
OS11G0584200	OS11T0584200-00	
OS11G0583300	OS11T0583300-00	
OS11G0584100	OS11T0584100-01	
OS11G0584100	OS11T0584100-02	
OS11G0583200	OS11T0583200-01	
OS11G0583250	OS11T0583250-01	
OS11G0582801	OS11T0582801-00	
OS11G0582700	OS11T0582700-01	
OS11G0582500	OS11T0582500-01	
OS11G0582400	OS11T0582400-01	
OS11G0582300	OS11T0582300-01	
OS11G0582300	OS11T0582300-02	
OS11G0582100	OS11T0582100-01	
OS11G0582000	OS11T0582000-00	
OS11G0581900	OS11T0581900-01	
OS11G0581700	OS11T0581700-01	
OS11G0580800	OS11T0580800-01	TATB
OS11G0580500	OS11T0580500-00	
OS11G0580000	OS11T0580000-01	
OS11G0579900	OS11T0579900-01	
OS11G0579800	OS11T0579800-01	
OS11G0579700	OS11T0579700-01	
OS11G0579600	OS11T0579600-01	
OS11G0579400	OS11T0579400-01	
OS11G0579400	OS11T0579400-02	
OS11G0579300	OS11T0579300-01	
OS11G0579200	OS11T0579200-01	
OS11G0579100	OS11T0579100-01	
OS11G0579000	OS11T0579000-01	
OS11G0578700	OS11T0578700-01	
OS11G0578500	OS11T0578500-01	
OS11G0578250	OS11T0578250-00	
OS11G0578375	OS11T0578375-00	
OS11G0578225	OS11T0578225-00	
OS11G0578100	OS11T0578100-00	
OS11G0578033	OS11T0578033-01	
OS11G0578066	OS11T0578066-01	
OS11G0578000	OS11T0578000-00	
OS11G0577866	OS11T0577866-00	
OS11G0577800	OS11T0577800-00	
OS11G0577700	OS11T0577700-01	
OS11G0577675	OS11T0577675-00	
OS11G0577650	OS11T0577650-00	
OS11G0577350	OS11T0577350-00	
OS11G0577300	OS11T0577300-00	
OS11G0576975	OS11T0576975-00	
OS11G0576900	OS11T0576900-01	
OS11G0576400	OS11T0576400-00	
OS11G0576100	OS11T0576100-00	
OS11G0575900	OS11T0575900-01	
OS11G0575600	OS11T0575600-01	
OS11G0575500	OS11T0575500-00	
OS11G0575200	OS11T0575200-00	
OS11G0574725	OS11T0574725-00	
OS11G0574500	OS11T0574500-00	
OS11G0574400	OS11T0574400-00	
OS11G0574333	OS11T0574333-01	
OS11G0574233	OS11T0574233-00	
OS11G0574200	OS11T0574200-00	
OS11G0573900	OS11T0573900-01	
OS11G0573800	OS11T0573800-00	
OS11G0573350	OS11T0573350-00	
OS11G0573200	OS11T0573200-01	
OS11G0573100	OS11T0573100-00	
OS11G0573000	OS11T0573000-01	
OS11G0573000	OS11T0573000-02	
OS11G0572900	OS11T0572900-00	
OS11G0572800	OS11T0572800-01	
OS11G0572700	OS11T0572700-00	
OS11G0572500	OS11T0572500-01	
OS11G0572500	OS11T0572500-02	
OS11G0572400	OS11T0572400-01	
OS11G0572301	OS11T0572301-01	
OS11G0572200	OS11T0572200-01	
OS11G0572100	OS11T0572100-01	RFC1
OS11G0572100	OS11T0572100-02	RFC1
OS11G0572100	OS11T0572100-03	RFC1
OS11G0572100	OS11T0572100-04	RFC1
OS11G0571900	OS11T0571900-01	
OS11G0570825	OS11T0570825-00	
OS11G0570400	OS11T0570400-01	
OS11G0570000	OS11T0570000-01	
OS11G0569800	OS11T0569800-01	
OS11G0569733	OS11T0569733-00	
OS11G0569600	OS11T0569600-01	
OS11G0569500	OS11T0569500-01	
OS11G0569400	OS11T0569400-00	
OS11G0569300	OS11T0569300-00	
OS11G0568950	OS11T0568950-00	
OS11G0568800	OS11T0568800-00	
OS11G0568700	OS11T0568700-01	
OS11G0568700	OS11T0568700-02	
OS11G0568666	OS11T0568666-01	
OS11G0568633	OS11T0568633-00	
OS11G0568600	OS11T0568600-01	
OS11G0568600	OS11T0568600-02	
OS11G0568500	OS11T0568500-01	
OS11G0568401	OS11T0568401-00	
OS11G0568300	OS11T0568300-01	
OS11G0567900	OS11T0567900-01	
OS11G0567800	OS11T0567800-01	
OS11G0567600	OS11T0567600-01	
OS11G0567200	OS11T0567200-00	
OS11G0566800	OS11T0566800-01	
OS11G0565920	OS11T0565920-00	
OS11G0565400	OS11T0565400-01	
OS11G0565300	OS11T0565300-00	
OS11G0565000	OS11T0565000-01	
OS11G0564900	OS11T0564900-00	
OS11G0564800	OS11T0564800-01	
OS11G0562600	OS11T0562600-00	
OS11G0562432	OS11T0562432-00	
OS11G0562266	OS11T0562266-00	
OS11G0562100	OS11T0562100-01	
OS11G0562100	OS11T0562100-02	
OS11G0561100	OS11T0561100-00	
OS11G0560900	OS11T0560900-00	
OS11G0560366	OS11T0560366-00	
OS11G0560033	OS11T0560033-00	
OS11G0559600	OS11T0559600-01	
OS11G0559366	OS11T0559366-00	
OS11G0559533	OS11T0559533-01	
OS11G0559200	OS11T0559200-00	
OS11G0558900	OS11T0558900-01	
OS11G0558566	OS11T0558566-00	
OS11G0558500	OS11T0558500-01	
OS11G0558500	OS11T0558500-02	
OS11G0558400	OS11T0558400-00	
OS11G0558350	OS11T0558350-01	
OS11G0558300	OS11T0558300-01	
OS11G0558100	OS11T0558100-00	
OS11G0558200	OS11T0558200-01	
OS11G0557900	OS11T0557900-01	
OS11G0557800	OS11T0557800-01	
OS11G0557700	OS11T0557700-01	
OS11G0557700	OS11T0557700-02	
OS11G0557500	OS11T0557500-00	
OS11G0557400	OS11T0557400-01	
OS11G0557000	OS11T0557000-01	
OS11G0557300	OS11T0557300-01	
OS11G0556733	OS11T0556733-00	
OS11G0556132	OS11T0556132-00	
OS11G0556400	OS11T0556400-00	
OS11G0556433	OS11T0556433-00	
OS11G0556466	OS11T0556466-00	
OS11G0555866	OS11T0555866-00	
OS11G0555300	OS11T0555300-00	
OS11G0555600	OS11T0555600-01	
OS11G0554200	OS11T0554200-01	
OS11G0554000	OS11T0554000-01	
OS11G0553832	OS11T0553832-00	
OS11G0553666	OS11T0553666-00	
OS11G0552600	OS11T0552600-01	
OS11G0553500	OS11T0553500-00	
OS11G0552500	OS11T0552500-00	
OS11G0552100	OS11T0552100-01	
OS11G0552100	OS11T0552100-02	
OS11G0552000	OS11T0552000-01	
OS11G0551900	OS11T0551900-01	GRF8
OS11G0551800	OS11T0551800-02	
OS11G0551350	OS11T0551350-01	
OS11G0550900	OS11T0550900-01	
OS11G0550800	OS11T0550800-01	
OS11G0550500	OS11T0550500-01	
OS11G0550300	OS11T0550300-01	
OS11G0550100	OS11T0550100-01	
OS11G0549900	OS11T0549900-01	
OS11G0549700	OS11T0549700-01	
OS11G0549695	OS11T0549695-01	
OS11G0549690	OS11T0549690-01	
OS11G0549686	OS11T0549686-00	
OS11G0549680	OS11T0549680-01	
OS11G0549675	OS11T0549675-01	
OS11G0549670	OS11T0549670-01	
