Ensembl Gene ID	Ensembl Transcript ID	Associated Gene Name
ENSRNOG00000031780	ENSRNOT00000041720	AY172581.13
ENSRNOG00000030478	ENSRNOT00000040038	AY172581.9
ENSRNOG00000029171	ENSRNOT00000045072	AY172581.3
ENSRNOG00000043866	ENSRNOT00000069133	AY172581.24
ENSRNOG00000032112	ENSRNOT00000049156	AY172581.14
ENSRNOG00000030644	ENSRNOT00000047550	Mt-nd1
ENSRNOG00000029301	ENSRNOT00000051008	AY172581.4
ENSRNOG00000033545	ENSRNOT00000049396	AY172581.21
ENSRNOG00000032274	ENSRNOT00000042644	AY172581.15
ENSRNOG00000031033	ENSRNOT00000040993	Mt-nd2
ENSRNOG00000029677	ENSRNOT00000046073	AY172581.6
ENSRNOG00000033932	ENSRNOT00000044320	AY172581.22
ENSRNOG00000032609	ENSRNOT00000048525	AY172581.18
ENSRNOG00000031333	ENSRNOT00000045310	AY172581.10
ENSRNOG00000029954	ENSRNOT00000051860	AY172581.7
ENSRNOG00000034234	ENSRNOT00000050156	Mt-co1
ENSRNOG00000032882	ENSRNOT00000040283	AY172581.19
ENSRNOG00000031685	ENSRNOT00000051129	AY172581.12
ENSRNOG00000030371	ENSRNOT00000043693	Mt-co2
ENSRNOG00000029070	ENSRNOT00000041978	AY172581.1
ENSRNOG00000033299	ENSRNOT00000046201	Mt-atp8
ENSRNOG00000031979	ENSRNOT00000046108	Mt-atp6
ENSRNOG00000030700	ENSRNOT00000049683	Mt-cox3
ENSRNOG00000029389	ENSRNOT00000048050	AY172581.5
ENSRNOG00000033615	ENSRNOT00000041241	Mt-nd3
ENSRNOG00000032320	ENSRNOT00000052103	AY172581.16
ENSRNOG00000031053	ENSRNOT00000044582	Mt-nd4l
ENSRNOG00000029707	ENSRNOT00000042928	Mt-nd4
ENSRNOG00000033957	ENSRNOT00000047162	AY172581.23
ENSRNOG00000032578	ENSRNOT00000045499	AY172581.17
ENSRNOG00000031667	ENSRNOT00000050396	AY172581.11
ENSRNOG00000029971	ENSRNOT00000048767	Mt-nd5
ENSRNOG00000029042	ENSRNOT00000051268	Mt-nd6
ENSRNOG00000032997	ENSRNOT00000049806	AY172581.20
ENSRNOG00000031766	ENSRNOT00000042098	Mt-cytb
ENSRNOG00000030339	ENSRNOT00000040611	AY172581.8
ENSRNOG00000029145	ENSRNOT00000044639	AY172581.2
ENSRNOG00000051842	ENSRNOT00000077717	SNORND104
ENSRNOG00000054001	ENSRNOT00000080806	AABR07049386.1
ENSRNOG00000052446	ENSRNOT00000078595	SNORA9
ENSRNOG00000055378	ENSRNOT00000082779	SNORD38
ENSRNOG00000058391	ENSRNOT00000087130	7SK
ENSRNOG00000011752	ENSRNOT00000015802	Sh3d19
ENSRNOG00000041331	ENSRNOT00000063084	AC132627.1
