Gene stable ID	Transcript stable ID	Gene name
YHR055C	YHR055C	CUP1-2
YPR161C	YPR161C	SGV1
YOL138C	YOL138C	RTC1
YDR395W	YDR395W	SXM1
YGR129W	YGR129W	SYF2
YPR165W	YPR165W	RHO1
YPR098C	YPR098C	
YPL015C	YPL015C	HST2
YCL050C	YCL050C	APA1
YAL069W	YAL069W	
YMR193W	YMR193W	MRPL24
YLR031W	YLR031W	
YIL014C-A	YIL014C-A	
YGR053C	YGR053C	
YCR101C	YCR101C	
YER087C-B	YER087C-B	SBH1
YOR280C	YOR280C	FSH3
YGR097W	YGR097W	ASK10
YHR215W	YHR215W	PHO12
YKL025C	YKL025C	PAN3
YKR011C	YKR011C	
YEL004W	YEL004W	YEA4
YJL200C	YJL200C	ACO2
YLL027W	YLL027W	ISA1
YOR024W	YOR024W	
YLR045C	YLR045C	STU2
YDR348C	YDR348C	PAL1
YPL183C	YPL183C	RTT10
YGR003W	YGR003W	CUL3
YEL008C-A	YEL008C-A	
YBL095W	YBL095W	
YGL060W	YGL060W	YBP2
YLL007C	YLL007C	
YEL009C	YEL009C	GCN4
YEL015W	YEL015W	EDC3
YOR083W	YOR083W	WHI5
YBR252W	YBR252W	DUT1
YDR329C	YDR329C	PEX3
YDL202W	YDL202W	MRPL11
YHR209W	YHR209W	CRG1
YPR008W	YPR008W	HAA1
YER075C	YER075C	PTP3
YDL203C	YDL203C	ACK1
YBR050C	YBR050C	REG2
YMR197C	YMR197C	VTI1
YDR261W-A	YDR261W-A	
YBL049W	YBL049W	MOH1
YER054C	YER054C	GIP2
YDR305C	YDR305C	HNT2
YHL019W-A	YHL019W-A	
YNL201C	YNL201C	PSY2
YHR180W-A	YHR180W-A	
YCR061W	YCR061W	
YBR206W	YBR206W	
YPL171C	YPL171C	OYE3
YHR051W	YHR051W	COX6
YDL116W	YDL116W	NUP84
YPR124W	YPR124W	CTR1
YJL023C	YJL023C	PET130
YGL167C	YGL167C	PMR1
YDL165W	YDL165W	CDC36
YLR154C-H	YLR154C-H	
YPL119C-A	YPL119C-A	
YIL143C	YIL143C	SSL2
YBR292C	YBR292C	
YGR240C	YGR240C	PFK1
YOR094W	YOR094W	ARF3
YDR167W	YDR167W	TAF10
YBR063C	YBR063C	
YER052C	YER052C	HOM3
YGR178C	YGR178C	PBP1
YPL118W	YPL118W	MRP51
YPR187W	YPR187W	RPO26
YJL065C	YJL065C	DLS1
YOL141W	YOL141W	PPM2
YPR086W	YPR086W	SUA7
YBR122C	YBR122C	MRPL36
YBR271W	YBR271W	EFM2
YBR279W	YBR279W	PAF1
YHR095W	YHR095W	
YMR221C	YMR221C	
YDR241W	YDR241W	BUD26
YJL221C	YJL221C	IMA4
YER130C	YER130C	COM2
YBR155W	YBR155W	CNS1
YDR363W	YDR363W	ESC2
YGR266W	YGR266W	
YLR443W	YLR443W	ECM7
YPL147W	YPL147W	PXA1
YAL034C	YAL034C	FUN19
YBR067C	YBR067C	TIP1
YCR095C	YCR095C	OCA4
YLR270W	YLR270W	DCS1
YPR084W	YPR084W	
YBR184W	YBR184W	
YMR113W	YMR113W	FOL3
YGR035C	YGR035C	
YDL222C	YDL222C	FMP45
YCL008C	YCL008C	STP22
YEL065W	YEL065W	SIT1
YNL335W	YNL335W	DDI3
YMR296C	YMR296C	LCB1
YDR232W	YDR232W	HEM1
YGR190C	YGR190C	
YHR116W	YHR116W	COX23
YDR313C	YDR313C	PIB1
YFR018C	YFR018C	
YKL007W	YKL007W	CAP1
YIL048W	YIL048W	NEO1
YDL213C	YDL213C	NOP6
YDR443C	YDR443C	SSN2
YNL292W	YNL292W	PUS4
YKL183C-A	YKL183C-A	
YOR324C	YOR324C	FRT1
YNL134C	YNL134C	
YKL100C	YKL100C	
YOR192C-B	YOR192C-B	
YPL021W	YPL021W	ECM23
YIL146C	YIL146C	ATG32
YLR299C-A	YLR299C-A	
YNL218W	YNL218W	MGS1
YIL121W	YIL121W	QDR2
YNL228W	YNL228W	
YDL167C	YDL167C	NRP1
YPL214C	YPL214C	THI6
YOR228C	YOR228C	MCP1
YBR270C	YBR270C	BIT2
YGR222W	YGR222W	PET54
YEL063C	YEL063C	CAN1
YAL068W-A	YAL068W-A	
YML020W	YML020W	
YGR121C	YGR121C	MEP1
YBR222C	YBR222C	PCS60
YDL095W	YDL095W	PMT1
YDL003W	YDL003W	MCD1
YOR323C	YOR323C	PRO2
YMR183C	YMR183C	SSO2
YOR274W	YOR274W	MOD5
YER146W	YER146W	LSM5
YML075C	YML075C	HMG1
YOL035C	YOL035C	
YPL063W	YPL063W	TIM50
YDR457W	YDR457W	TOM1
YLR273C	YLR273C	PIG1
YDR181C	YDR181C	SAS4
YLR434C	YLR434C	
YGL097W	YGL097W	SRM1
YCL056C	YCL056C	PEX34
YJL083W	YJL083W	TAX4
YMR242W-A	YMR242W-A	
YOR026W	YOR026W	BUB3
YPL140C	YPL140C	MKK2
YNR016C	YNR016C	ACC1
YER123W	YER123W	YCK3
YGR055W	YGR055W	MUP1
YKR054C	YKR054C	DYN1
YMR315W	YMR315W	
YAL024C	YAL024C	LTE1
YKL202W	YKL202W	
YKL187C	YKL187C	FAT3
YDR383C	YDR383C	NKP1
YDR396W	YDR396W	
YGR115C	YGR115C	
YKL055C	YKL055C	OAR1
YDR035W	YDR035W	ARO3
YBL062W	YBL062W	
YHR160C	YHR160C	PEX18
YGR047C	YGR047C	TFC4
YDR119W	YDR119W	VBA4
YBR208C	YBR208C	DUR1,2
YER151C	YER151C	UBP3
YLR070C	YLR070C	XYL2
YPR019W	YPR019W	MCM4
YPL228W	YPL228W	CET1
YPR190C	YPR190C	RPC82
YGR041W	YGR041W	BUD9
YDR353W	YDR353W	TRR1
YHR097C	YHR097C	
YPL047W	YPL047W	SGF11
YPL014W	YPL014W	
YGR007W	YGR007W	ECT1
YML116W	YML116W	ATR1
YOL137W	YOL137W	BSC6
YGL155W	YGL155W	CDC43
YER061C	YER061C	CEM1
YKL214C	YKL214C	YRA2
YPL119C	YPL119C	DBP1
YDL125C	YDL125C	HNT1
YHR186C	YHR186C	KOG1
YKL011C	YKL011C	CCE1
YLL019C	YLL019C	KNS1
YNL257C	YNL257C	SIP3
YGL199C	YGL199C	
YJR092W	YJR092W	BUD4
YDR010C	YDR010C	
YBL059W	YBL059W	
YBR291C	YBR291C	CTP1
YPL189C-A	YPL189C-A	COA2
YDR262W	YDR262W	
YFL012W	YFL012W	
YLR078C	YLR078C	BOS1
YDR072C	YDR072C	IPT1
YDR179C	YDR179C	CSN9
YKL153W	YKL153W	
YOR108C-A	YOR108C-A	
YGR220C	YGR220C	MRPL9
YIL053W	YIL053W	GPP1
YMR161W	YMR161W	HLJ1
YER011W	YER011W	TIR1
YDR258C	YDR258C	HSP78
YDR467C	YDR467C	
YGL162W	YGL162W	SUT1
YNL243W	YNL243W	SLA2
YBR234C	YBR234C	ARC40
YNL047C	YNL047C	SLM2
YKL038W	YKL038W	RGT1
YFL053W	YFL053W	DAK2
YOR200W	YOR200W	
YKR060W	YKR060W	UTP30
YPR200C	YPR200C	ARR2
YLR411W	YLR411W	CTR3
YLR318W	YLR318W	EST2
YHR150W	YHR150W	PEX28
YGL219C	YGL219C	MDM34
YFL009W	YFL009W	CDC4
YBR045C	YBR045C	GIP1
YMR039C	YMR039C	SUB1
YKL195W	YKL195W	MIA40
YPR127W	YPR127W	
YPL188W	YPL188W	POS5
YGL147C	YGL147C	RPL9A
YDR217C	YDR217C	RAD9
YML015C	YML015C	TAF11
YJR126C	YJR126C	VPS70
YPR026W	YPR026W	ATH1
YHR073W	YHR073W	OSH3
YMR274C	YMR274C	RCE1
YMR008C	YMR008C	PLB1
YHR125W	YHR125W	
YER119C-A	YER119C-A	
YDL227C	YDL227C	HO
YOR197W	YOR197W	MCA1
YDR034C-C	YDR034C-C	
YNL081C	YNL081C	SWS2
YKL096W-A	YKL096W-A	CWP2
YDR532C	YDR532C	KRE28
YNL319W	YNL319W	
YDR049W	YDR049W	VMS1
YBR113W	YBR113W	
YKL170W	YKL170W	MRPL38
YJL043W	YJL043W	
