Journal	JIF
Nat_Commun	12.121
PLoS_One	2.740
Sci_Rep	3.998
BMC_Genomics	3.594
PLoS_Genet	5.174
Oncotarget	3.337
Front_Genet	3.258
eLife	7.080
Proc_Natl_Acad_Sci_U_S_A	9.412
Cell_Rep	NA
Genome_Biol	10.806
Nature	42.778
Nat_Genet	27.603
Genome_Med	10.675
Cell	38.637
PeerJ	2.379
Clin_Epigenetics	5.028
Nucleic_Acids_Res	11.501
BMC_Med_Genomics	4.848
Front_Oncol	2.570
Transl_Psychiatry	5.280
BMC_Cancer	3.150
Commun_Biol	6.218
PLoS_Pathog	4.165
Aging_	7.076
EBioMedicine	5.736
PLoS_Biol	4.831
Epigenetics_Chromatin	NA
PLoS_Comput_Biol	4.700
Oncogene	7.971
iScience	13.116
Sci_Adv	4.447
BMC_Bioinformatics	3.242
G3_	5.100
Hum_Mol_Genet	2.781
BMC_Plant_Biol	3.497
Front_Plant_Sci	4.402
