PMC7120876	Pflanzenphysiologie
PMC5025440	Front_Plant_Sci
PMC4861929	Sci_Rep
PMC4892787	Proc_Biol_Sci
PMC4865197	PLoS_One
PMC5174739	Genome_Biol_Evol
PMC5243251	Indian_J_Microbiol
PMC5156730	Front_Plant_Sci
PMC5057367	Gigascience
PMC5177773	Oncogenesis
PMC4744444	Mob_DNA
PMC5210668	Nucleic_Acids_Res
PMC5074001	BMC_Bioinformatics
PMC5042410	PLoS_One
PMC4876609	Front_Microbiol
PMC4748558	Gigascience
PMC4780826	PLoS_One
PMC5133609	Sci_Rep
PMC4950314	Exp_Biol_Med_
PMC5121383	J_Clin_Microbiol
PMC5011059	Am_J_Hum_Genet
PMC7106367	J_Clin_Virol
PMC5259550	Plant_Biotechnol_J
PMC5008245	Mol_Ther_Methods_Clin_Dev
PMC5121393	J_Clin_Microbiol
PMC4888442	J_Hered
PMC4802676	IDCases
PMC5021332	PLoS_Negl_Trop_Dis
PMC4855864	BMC_Genet
PMC4959162	Appl_Environ_Microbiol
PMC5315480	ISME_J
PMC5176383	Curr_Oncol
PMC5115224	Version_3
PMC4910214	Stand_Genomic_Sci
PMC4983473	Mol_Cell_Endocrinol
PMC4916379	mBio
PMC4885074	Viruses
PMC4964128	J_Cancer
PMC5341608	RNA_Dis
PMC5098046	Mol_Cell_Proteomics
PMC6518377	Diabetologia
PMC6078601	Hum_Mol_Genet
PMC5086605	Viruses
PMC4931397	Plants_
PMC4963501	J_Clin_Microbiol
PMC4842374	Int_J_Genomics
PMC6274481	Molecules
PMC4767623	Nat_Methods
PMC5174736	Genome_Biol_Evol
PMC4772807	Open_Biol
PMC5042415	PLoS_One
PMC5514313	IEEE/ACM_Trans_Comput_Biol_Bioinform
PMC4920126	Bioinformatics
PMC4896275	Hum_Genomics
PMC5125007	Sci_Rep
PMC5338131	Br_J_Clin_Pharmacol
PMC4911145	PLoS_Comput_Biol
PMC5173342	PLoS_One
PMC5063710	Hum_Mutat
PMC5117517	BMC_Med_Genomics
PMC5346309	BMB_Rep
PMC4828761	BMC_Microbiol
PMC5000459	BMC_Genomics
PMC5169091	Int_Neurourol_J
PMC5261025	Cell_Death_Dis
PMC5033222	GM_Crops_Food
PMC4955574	Curr_Opin_Urol
PMC4778365	BMC_Genomics
PMC5075209	BMC_Genomics
PMC5025611	BMC_Genomics
PMC5754031	EECS_Tech_Rep_Ser
PMC4959168	Appl_Environ_Microbiol
PMC5090899	Genome_Biol
PMC4705761	Vet_Res
PMC4908350	Bioinformatics
PMC5862344	Brief_Bioinform
PMC4761110	Database_
PMC5118931	Appl_Environ_Microbiol
PMC5007785	Appl_Environ_Microbiol
PMC5086548	Appl_Environ_Microbiol
PMC4807089	PLoS_Biol
PMC5030356	mBio
PMC5025161	PLoS_One
PMC4997597	Viruses
PMC4981473	PLoS_Genet
PMC4709979	BMC_Genomics
PMC5118927	Appl_Environ_Microbiol
PMC4810266	Viruses
PMC4747765	Proc_Natl_Acad_Sci_U_S_A
PMC5010888	Genome_Biol_Evol
PMC4987893	Nucleic_Acids_Res
PMC4713051	Sci_Rep
PMC5000751	Int_J_Mol_Sci
PMC4888819	Cold_Spring_Harb_Perspect_Biol
PMC5011910	BMC_Genomics
PMC5158111	Microbes_Environ
PMC4924849	PLoS_One
PMC4845489	BMC_Plant_Biol
PMC5203619	Appl_Environ_Microbiol
PMC4864905	BMC_Res_Notes
PMC4779268	BMC_Genomics
PMC4984305	Appl_Environ_Microbiol
PMC4915564	Mol_Ecol
PMC4898796	Genome_Biol_Evol
PMC5210652	Nucleic_Acids_Res
PMC4899208	Hum_Genet
PMC5024638	Proc_Natl_Acad_Sci_U_S_A
PMC4978890	G3_
PMC5127014	Viruses
PMC4736615	BMC_Genomics
PMC5952581	Nucleic_Acids_Res
PMC5685307	NPJ_Genom_Med
PMC5203793	Genome_Biol_Evol
PMC4974066	Am_J_Hum_Genet
PMC5282602	Curr_Genomics
PMC5343134	Microb_Genom
PMC4937464	Genetics
PMC5053433	PLoS_One
PMC5029897	PLoS_One
PMC5092207	J_Vis_Exp
PMC5270733	Microb_Biotechnol
PMC5041503	Front_Microbiol
PMC4923561	Biomed_Res_Int
PMC4909312	DNA_Res
PMC5105098	Genome_Announc
PMC5156695	Front_Plant_Sci
PMC4899488	Sci_Bull_
PMC5022704	Version_2
PMC5320631	Microb_Genom
PMC4965636	Bioinformatics
PMC4859922	Rev_Urol
PMC4756769	Biomark_Cancer
PMC5100867	G3_
